matcher,ntypes,max_len,lambda,wall,cpu,inferences
match_list_ns,basic,5,1,0.029920101165771484,0.03125,186413
match_list_ns,basic,5,1,0.027929067611694336,0.0,186413
match_list_ns,basic,10,1,0.12743878364562988,0.125,1260515
match_list_ns,basic,10,1,0.13235902786254883,0.109375,1260515
match_list_ns,basic,10,1,0.14899015426635742,0.15625,1260515
match_list_ns,basic,10,1,0.13706398010253906,0.125,1260515
match_list_ns,basic,10,1,0.1313018798828125,0.125,1260515
match_list_ns,basic,12,1,0.44644808769226074,0.390625,4258998
match_list_ns,basic,12,1,0.4238870143890381,0.421875,4258998
match_list_ns,basic,12,1,0.41671299934387207,0.421875,4258998
match_list_ns,basic,12,1,0.41652894020080566,0.421875,4258998
match_list_ns,basic,12,1,0.41272401809692383,0.40625,4258998
match_list_ns,basic,14,1,1.5718371868133545,1.5625,16917462
match_list_ns,basic,14,1,1.6451590061187744,1.640625,16917462
match_list_ns,basic,14,1,1.6056089401245117,1.609375,16917462
match_list_ns,basic,14,1,1.6120359897613525,1.609375,16917462
match_list_ns,basic,14,1,1.6230568885803223,1.625,16917462
match_list_ns,basic,16,1,6.773949146270752,6.671875,70957574
match_list_ns,basic,16,1,6.752712965011597,6.734374999999986,70957574
match_list_ns,basic,16,1,6.789115905761719,6.765625,70957574
match_list_ns,basic,16,1,6.744984149932861,6.71875,70957574
match_list_ns,basic,16,1,6.83070707321167,6.734375,70957574
match_list_ns,basic,18,1,28.590818881988525,28.50000000000003,301437404
match_list_ns,basic,18,1,28.449436902999878,28.421875,301437404
match_list_ns,basic,18,1,29.393145084381104,29.25,301437404
match_list_ns,basic,18,1,29.28119206428528,29.15624999999997,301437404
match_list_ns,basic,18,1,29.12899684906006,29.078125,301437404
match_list_ns,basic,5,2,0.04947519302368164,0.046875,305891
match_list_ns,basic,5,2,0.045881032943725586,0.046875,305891
match_list_ns,basic,5,2,0.10471606254577637,0.046875,305891
match_list_ns,basic,5,2,0.04389619827270508,0.046875,305891
match_list_ns,basic,5,2,0.04786992073059082,0.046875,305891
match_list_ns,basic,10,2,0.18652796745300293,0.1875,1772584
match_list_ns,basic,10,2,0.20601511001586914,0.203125,1772584
match_list_ns,basic,10,2,0.19686079025268555,0.203125,1772584
match_list_ns,basic,10,2,0.19910001754760742,0.1875,1772584
match_list_ns,basic,10,2,0.24730706214904785,0.1875,1772584
match_list_ns,basic,12,2,0.42376708984375,0.40625,4236960
match_list_ns,basic,12,2,0.4214320182800293,0.421875,4236960
match_list_ns,basic,12,2,0.4161338806152344,0.421875,4236960
match_list_ns,basic,12,2,0.4041628837585449,0.390625,4236960
match_list_ns,basic,12,2,0.42134904861450195,0.421875,4236960
match_list_ns,basic,14,2,1.3381121158599854,1.34375,13931606
match_list_ns,basic,14,2,1.4718308448791504,1.453125,13931606
match_list_ns,basic,14,2,1.4644629955291748,1.421875,13931606
match_list_ns,basic,14,2,1.380648136138916,1.375,13931606
match_list_ns,basic,14,2,1.4382169246673584,1.421875,13931606
match_list_ns,basic,16,2,5.228655099868774,5.171875,54656001
match_list_ns,basic,16,2,5.193411827087402,5.140625,54656001
match_list_ns,basic,16,2,5.121311187744141,5.125,54656001
match_list_ns,basic,16,2,5.246632814407349,5.203125000000057,54656001
match_list_ns,basic,16,2,5.2416300773620605,5.171875,54656001
match_list_ns,basic,18,2,21.65833592414856,21.578125,227705338
match_list_ns,basic,18,2,21.626444101333618,21.53125,227705338
match_list_ns,basic,18,2,21.88917589187622,21.828125,227705338
match_list_ns,basic,18,2,21.873006105422974,21.75,227705338
match_list_ns,basic,18,2,21.80012607574463,21.75,227705338
match_list_ns,basic,10,3,0.28955888748168945,0.28125,2895852
match_list_ns,basic,10,3,0.3326079845428467,0.34375,2895852
match_list_ns,basic,10,3,0.30039000511169434,0.28125,2895852
match_list_ns,basic,10,3,0.298367977142334,0.296875,2895852
match_list_ns,basic,10,3,0.2920708656311035,0.28125,2895852
match_list_ns,basic,12,3,0.4872581958770752,0.484375,5072754
match_list_ns,basic,12,3,0.49051690101623535,0.5,5072754
match_list_ns,basic,12,3,0.5595769882202148,0.515625,5072754
match_list_ns,basic,12,3,0.5140249729156494,0.515625,5072754
match_list_ns,basic,12,3,0.4935281276702881,0.484375,5072754
match_list_ns,basic,14,3,1.067119836807251,1.0625,11377022
match_list_ns,basic,14,3,1.0865819454193115,1.09375,11377022
match_list_ns,basic,14,3,1.1828460693359375,1.171875,11377022
match_list_ns,basic,14,3,1.2629008293151855,1.234375,11377022
match_list_ns,basic,14,3,1.1033451557159424,1.109375,11377022
match_list_ns,basic,16,3,3.5769147872924805,3.546875,35718015
match_list_ns,basic,16,3,3.357368230819702,3.359375,35718015
match_list_ns,basic,16,3,3.315081834793091,3.3125,35718015
match_list_ns,basic,16,3,3.352250099182129,3.3125,35718015
match_list_ns,basic,16,3,3.361539840698242,3.359375,35718015
match_list_ns,basic,18,3,13.132504224777222,13.0625,137212783
